epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,137.291,1.30138,0.73475,1.30696,0.92408,0.81481,0.91692,0.49951,1.62078,0.79474,1.63175,0.000821206,0.000821206,0.000821206
43,139.787,1.27818,0.7376,1.30752,0.87877,0.82792,0.91417,0.48208,1.63453,0.80806,1.6781,0.000800577,0.000800577,0.000800577
44,142.289,1.26439,0.72612,1.32967,0.81151,0.92439,0.91375,0.49551,1.6338,0.80066,1.65642,0.000779948,0.000779948,0.000779948
45,144.747,1.2322,0.69983,1.28493,0.99635,0.77313,0.91899,0.50148,1.62037,0.77822,1.66033,0.000759318,0.000759318,0.000759318
46,147.341,1.28299,0.72052,1.34907,0.92075,0.85185,0.94086,0.56282,1.53263,0.72396,1.58217,0.000738689,0.000738689,0.000738689
47,150.526,1.26453,0.72001,1.31514,0.94171,0.83333,0.93997,0.5632,1.52885,0.743,1.58349,0.00071806,0.00071806,0.00071806
48,153.158,1.23683,0.72113,1.28467,0.98744,0.83333,0.94415,0.53213,1.57053,0.72422,1.5907,0.000697431,0.000697431,0.000697431
49,156.931,1.23388,0.73124,1.29058,0.90947,0.87021,0.94036,0.52546,1.59877,0.74131,1.63937,0.000676802,0.000676802,0.000676802
50,159.497,1.25571,0.7321,1.28477,0.94266,0.83804,0.93984,0.52459,1.61978,0.74026,1.68224,0.000656173,0.000656173,0.000656173
51,162.662,1.26389,0.70366,1.28783,0.98878,0.85185,0.9544,0.53924,1.59452,0.68626,1.62981,0.000635544,0.000635544,0.000635544
52,165.346,1.20901,0.66871,1.25485,0.93125,0.87037,0.94322,0.53119,1.61791,0.69939,1.64297,0.000614915,0.000614915,0.000614915
53,167.801,1.22218,0.66702,1.24923,0.84657,0.94444,0.94321,0.53353,1.59983,0.68922,1.61276,0.000594286,0.000594286,0.000594286
54,170.302,1.23912,0.7006,1.30082,0.99572,0.84694,0.95514,0.52884,1.59977,0.68782,1.63418,0.000573656,0.000573656,0.000573656
55,172.806,1.20324,0.6592,1.23093,0.97086,0.86195,0.95299,0.52608,1.59421,0.6913,1.62279,0.000553027,0.000553027,0.000553027
56,176.096,1.15771,0.64716,1.20701,0.94614,0.87037,0.94836,0.51944,1.58247,0.69957,1.61196,0.000532398,0.000532398,0.000532398
57,178.539,1.16304,0.66239,1.21283,0.8711,0.85185,0.91225,0.5219,1.58164,0.70545,1.63124,0.000511769,0.000511769,0.000511769
58,181.026,1.15786,0.62797,1.23846,0.9803,0.81481,0.93403,0.53391,1.57475,0.70503,1.61769,0.00049114,0.00049114,0.00049114
59,183.52,1.15096,0.63537,1.24976,0.90481,0.81481,0.90739,0.52193,1.60152,0.74059,1.61836,0.000470511,0.000470511,0.000470511
60,186.035,1.15018,0.65869,1.25644,0.90428,0.85185,0.91025,0.52468,1.68283,0.72439,1.7304,0.000449882,0.000449882,0.000449882
61,189.252,1.13988,0.63421,1.23647,0.96279,0.83089,0.91008,0.51971,1.65745,0.71478,1.71125,0.000429253,0.000429253,0.000429253
62,191.782,1.114,0.61598,1.1973,0.88169,0.84561,0.91542,0.52916,1.6201,0.7248,1.65579,0.000408623,0.000408623,0.000408623
63,194.245,1.1295,0.63341,1.21494,0.98585,0.88889,0.96088,0.53539,1.64348,0.67451,1.66194,0.000387994,0.000387994,0.000387994
64,196.738,1.13639,0.6095,1.21323,0.90911,0.94444,0.97006,0.52637,1.63279,0.65809,1.68809,0.000367365,0.000367365,0.000367365
65,199.269,1.09624,0.63102,1.23518,0.98866,0.83333,0.95718,0.53188,1.63561,0.67098,1.68153,0.000346736,0.000346736,0.000346736
66,202.286,1.11435,0.6078,1.20128,0.96784,0.83317,0.94242,0.52116,1.64338,0.70194,1.65774,0.000326107,0.000326107,0.000326107
67,204.732,1.06129,0.59272,1.16743,0.86822,0.92593,0.94671,0.53238,1.60394,0.70984,1.65879,0.000305478,0.000305478,0.000305478
68,207.316,1.10165,0.58968,1.20925,0.94736,0.87037,0.95628,0.5584,1.58202,0.67806,1.62515,0.000284849,0.000284849,0.000284849
69,209.791,1.1033,0.60018,1.22587,0.98789,0.87037,0.95751,0.55454,1.58897,0.65941,1.61549,0.00026422,0.00026422,0.00026422
70,212.401,1.10363,0.61932,1.22557,0.99715,0.86636,0.96013,0.53176,1.64035,0.67895,1.6394,0.00024359,0.00024359,0.00024359
71,217.546,1.04647,0.5676,1.19437,0.86818,0.88889,0.9458,0.52351,1.65972,0.73164,1.64008,0.000222961,0.000222961,0.000222961
72,220.729,1.01995,0.53326,1.17322,0.93705,0.83333,0.93845,0.52537,1.63075,0.76023,1.63985,0.000202332,0.000202332,0.000202332
73,223.187,1.01415,0.5426,1.18808,0.95237,0.83333,0.93625,0.50918,1.62291,0.75752,1.64303,0.000181703,0.000181703,0.000181703
74,225.882,1.01241,0.52027,1.18202,0.91892,0.85185,0.93209,0.51753,1.62241,0.76624,1.66326,0.000161074,0.000161074,0.000161074
75,228.834,1.02152,0.52477,1.17212,0.95064,0.864,0.93676,0.50649,1.64627,0.74529,1.68923,0.000140445,0.000140445,0.000140445
76,231.291,0.96985,0.51705,1.1546,0.93057,0.85185,0.94377,0.52712,1.64793,0.72744,1.6825,0.000119816,0.000119816,0.000119816
77,233.712,0.96187,0.50461,1.14062,0.92117,0.85185,0.95039,0.52312,1.64543,0.7143,1.67817,9.91865e-05,9.91865e-05,9.91865e-05
78,236.322,0.96818,0.5206,1.15686,0.91141,0.85492,0.95061,0.53568,1.63304,0.70094,1.66863,7.85574e-05,7.85574e-05,7.85574e-05
79,239.121,0.96307,0.50247,1.15531,0.97741,0.83333,0.95343,0.53934,1.61813,0.70291,1.65866,5.79283e-05,5.79283e-05,5.79283e-05
80,242.017,0.981,0.5068,1.20356,0.99796,0.84506,0.953,0.5427,1.61768,0.70079,1.66134,3.72991e-05,3.72991e-05,3.72991e-05
